"day","num_of_users"
2018-11-16,1743
2018-11-17,1717
2018-11-18,1716
2018-11-19,1743
2018-11-20,1728
2018-11-21,1600
2018-11-22,1772
2018-11-23,1662
2018-11-24,1602
2018-11-25,1812
2018-11-26,1660
2018-11-27,1641
2018-11-28,1532
2018-11-29,1793
2018-11-30,1651
2018-12-01,1714
2018-12-02,1801
2018-12-03,1832
2018-12-04,1784
2018-12-05,1704
2018-12-06,1758
2018-12-07,1692
2018-12-08,1691
2018-12-09,1458
2018-12-10,1781
2018-12-11,1716
2018-12-12,1734
2018-12-13,1804
2018-12-14,1633
2018-12-15,1829
2018-12-16,1751
2018-12-17,1605
2018-12-18,1742
2018-12-19,1764
2018-12-20,1774
2018-12-21,1832
2018-12-22,1723
2018-12-23,1673
2018-12-24,1702
2018-12-25,1685
2018-12-26,1670
2018-12-27,1731
2018-12-28,1704
2018-12-29,1674
2018-12-30,1635
2018-12-31,2637
2019-01-01,1693
2019-01-02,1530
2019-01-03,1497
2019-01-04,1338
2019-01-05,1352
2019-01-06,1455
2019-01-07,1309
2019-01-08,1501
2019-01-09,1517
2019-01-10,1538
2019-01-11,1738
2019-01-12,1373
2019-01-13,1616
2019-01-14,1619
2019-01-15,1457
2019-01-16,1497
2019-01-17,1692
2019-01-18,1771
2019-01-19,1711
2019-01-20,1498
2019-01-21,1473
2019-01-22,1322
2019-01-23,1382
2019-01-24,1726
2019-01-25,1712
2019-01-26,1628
2019-01-27,1434
2019-01-28,1727
2019-01-29,1713
2019-01-30,1542
2019-01-31,1733
2019-02-01,1211
2019-02-02,1730
2019-02-03,1604
2019-02-04,1719
2019-02-05,1290
2019-02-06,1164
2019-02-07,1457
2019-02-08,1775
2019-02-09,1634
2019-02-10,1436
2019-02-11,1735
2019-02-12,1816
2019-02-13,1759
2019-02-14,1687
2019-02-15,1727
2019-02-16,1787
2019-02-17,1625
2019-02-18,1733
2019-02-19,1690
2019-02-20,1447
2019-02-21,1761
2019-02-22,1596
2019-02-23,1778
2019-02-24,1623
2019-02-25,1679
2019-02-26,1708
2019-02-27,1645
2019-02-28,1610
2019-03-01,1453
2019-03-02,1461
2019-03-03,1646
2019-03-04,1434
2019-03-05,1635
2019-03-06,1866
2019-03-07,1690
2019-03-08,1647
2019-03-09,1756
2019-03-10,1571
2019-03-11,1802
2019-03-12,1777
2019-03-13,1744
2019-03-14,1739
2019-03-15,1747
2019-03-16,1504
2019-03-17,1547
2019-03-18,1533
2019-03-19,1626
2019-03-20,1556
2019-03-21,1560
2019-03-22,1550
2019-03-23,1596
2019-03-24,1557
2019-03-25,1582
2019-03-26,1587
2019-03-27,1573
2019-03-28,1523
2019-03-29,1563
2019-03-30,1759
2019-03-31,1663
2019-04-01,1767
2019-04-02,1707
2019-04-03,1723
2019-04-04,1655
2019-04-05,1809
2019-04-06,1717
2019-04-07,1728
2019-04-08,1598
2019-04-09,1824
2019-04-10,1781
2019-04-11,1769
2019-04-12,1798
2019-04-13,1801
2019-04-14,1760
2019-04-15,1761
2019-04-16,1469
2019-04-17,1658
2019-04-18,1491
2019-04-19,1650
2019-04-20,1580
2019-04-21,1452
2019-04-22,1553
2019-04-23,1613
2019-04-24,1678
2019-04-25,1728
2019-04-26,1798
2019-04-27,1804
2019-04-28,1507
2019-04-29,1566
2019-04-30,1673
2019-05-01,1745
2019-05-02,1609
2019-05-03,1448
2019-05-04,1542
2019-05-05,1465
2019-05-06,1743
2019-05-07,1654
2019-05-08,1381
2019-05-09,1767
2019-05-10,1830
2019-05-11,1530
2019-05-12,1414
2019-05-13,1917
2019-05-14,1939
2019-05-15,1679
2019-05-16,1549
2019-05-17,1752
2019-05-18,1500
2019-05-19,1538
2019-05-20,1631
2019-05-21,1757
2019-05-22,1683
2019-05-23,1730
2019-05-24,1611
2019-05-25,1567
2019-05-26,1562
2019-05-27,1703
2019-05-28,1816
2019-05-29,1738
2019-05-30,1790
2019-05-31,1748
2019-06-01,1818
2019-06-02,1670
2019-06-03,1634
2019-06-04,1799
2019-06-05,1819
2019-06-06,1786
2019-06-07,1802
2019-06-08,1796
2019-06-09,1810
2019-06-10,1778
2019-06-11,1777
2019-06-12,1754
2019-06-13,1798
2019-06-14,1753
2019-06-15,1806
2019-06-16,1804
2019-06-17,1795
2019-06-18,1753
2019-06-19,1913
2019-06-20,1832
2019-06-21,1726
2019-06-22,1787
2019-06-23,1725
2019-06-24,1790
2019-06-25,1762
2019-06-26,1744
2019-06-27,1557
2019-06-28,1528
2019-06-29,1563
2019-06-30,1538
2019-07-01,1790
2019-07-02,1603
2019-07-03,1637
2019-07-04,1723
2019-07-05,1784
2019-07-06,1666
2019-07-07,1658
2019-07-08,1548
2019-07-09,1602
2019-07-10,1666
2019-07-11,1521
2019-07-12,1540
2019-07-13,1377
2019-07-14,1418
2019-07-15,1642
2019-07-16,1623
2019-07-17,1676
2019-07-18,1741
2019-07-19,1659
2019-07-20,1586
2019-07-21,1675
2019-07-22,1746
2019-07-23,1682
2019-07-24,1668
2019-07-25,1649
2019-07-26,1681
2019-07-27,1788
2019-07-28,1724
2019-07-29,1662
2019-07-30,1523
2019-07-31,1705
2019-08-01,1670
2019-08-02,1540
2019-08-03,1492
2019-08-04,1391
2019-08-05,1607
2019-08-06,1543
2019-08-07,1530
2019-08-08,1530
2019-08-09,1514
2019-08-10,1436
2019-08-11,1522
2019-08-12,1545
2019-08-13,1601
2019-08-14,1696
2019-08-15,1667
2019-08-16,1742
2019-08-17,1716
2019-08-18,1464
2019-08-19,1503
2019-08-20,1564
2019-08-21,1755
2019-08-22,1552
2019-08-23,1530
2019-08-24,1492
2019-08-25,1483
2019-08-26,1514
2019-08-27,1602
2019-08-28,1521
2019-08-29,1564
2019-08-30,1500
2019-08-31,1734
2019-09-01,1488
2019-09-02,1731
2019-09-03,1608
2019-09-04,1540
2019-09-05,1575
2019-09-06,1407
2019-09-07,1642
2019-09-08,1505
2019-09-09,1568
2019-09-10,1557
2019-09-11,1561
2019-09-12,1506
2019-09-13,1623
2019-09-14,1500
2019-09-15,1563
2019-09-16,1664
2019-09-17,1585
2019-09-18,1599
2019-09-19,1577
2019-09-20,1521
2019-09-21,1566
2019-09-22,1552
2019-09-23,1564
2019-09-24,1557
2019-09-25,1685
2019-09-26,1726
2019-09-27,1687
2019-09-28,1708
2019-09-29,1708
2019-09-30,1824
2019-10-01,1767
2019-10-02,1768
2019-10-03,1771
2019-10-04,1704
2019-10-05,1804
2019-10-06,1763
2019-10-07,1787
2019-10-08,1713
2019-10-09,1832
2019-10-10,1790
2019-10-11,1698
2019-10-12,1708
2019-10-13,1858
2019-10-14,1788
2019-10-15,1796
2019-10-16,1769
2019-10-17,1827
2019-10-18,1747
2019-10-19,1756
2019-10-20,1723
2019-10-21,1814
2019-10-22,1753
2019-10-23,1732
2019-10-24,1860
2019-10-25,1699
2019-10-26,1742
2019-10-27,1795
2019-10-28,1807
2019-10-29,1778
2019-10-30,1817
2019-10-31,1753
2019-11-01,1832
2019-11-02,1706
2019-11-03,1784
2019-11-04,1789
2019-11-05,1799
2019-11-06,1858
2019-11-07,1790
2019-11-08,1760
2019-11-09,1793
2019-11-10,1758
2019-11-11,1828
2019-11-12,1837
2019-11-13,1748
2019-11-14,1807
2019-11-15,1793
2019-11-16,1820
2019-11-17,1801
2019-11-18,1837
2019-11-19,1720
2019-11-20,1781
2019-11-21,1714
2019-11-22,1727
2019-11-23,1645
2019-11-24,1678
2019-11-25,1606
2019-11-26,1754
2019-11-27,1590
2019-11-28,1786
2019-11-29,1687
2019-11-30,1673
2019-12-01,1841
2019-12-02,1722
2019-12-03,1544
2019-12-04,1643
2019-12-05,1552
2019-12-06,1573
2019-12-07,1549
2019-12-08,1442
2019-12-09,1526
2019-12-10,1708
2019-12-11,1627
2019-12-12,1693
2019-12-13,1787
2019-12-14,1772
2019-12-15,1769
2019-12-16,1773
2019-12-17,1738
2019-12-18,1837
2019-12-19,1826
2019-12-20,1798
2019-12-21,1788
2019-12-22,1779
2019-12-23,1702
2019-12-24,1637
2019-12-25,1777
2019-12-26,1868
2019-12-27,1811
2019-12-28,1820
2019-12-29,1750
2019-12-30,1853
2019-12-31,1807
