"genres","avg_rating","avg_progress"
"Магия / колдовство,Героическая фантастика,Юмористическая фантастика",4.7,70.2368421052631579
"Ужасы,Мистика,Книги о приключениях,Книги про волшебников,Любовное фэнтези",4.666666666666667,70.2340425531914894
"Эротические романы,Любовно-фантастические романы,Любовное фэнтези",4.6,70.1775147928994083
"Детективное фэнтези,Героическое фэнтези,Магические академии",4.638297872340425,70.1208053691275168
"Боевое фэнтези,Книги про вампиров,Любовное фэнтези",4.909090909090909,70.0580645161290323
"Эротическое фэнтези,Попаданцы,Любовное фэнтези",4.656565656565657,70.0174326465927100
"Боевая фантастика,Боевики,Триллеры",4.5,69.8666666666666667
"Юмористическая проза,Юмористические стихи",5.0,69.8181818181818182
"Эротические романы,Любовно-фантастические романы,Остросюжетные любовные романы",4.440476190476191,69.7940074906367041
"Ужасы,Мистика,Короткие любовные романы",5.0,69.7857142857142857
"Современная зарубежная литература,Современные любовные романы",5.0,69.7777777777777778
"Отдых / туризм,Классические детективы,Полицейские детективы",5.0,69.7500000000000000
"Поиск и подбор персонала,Менеджмент и кадры",4.0,69.7142857142857143
"Эротические романы,Эротическое фэнтези,Остросюжетные любовные романы,Любовное фэнтези",4.6,69.6415770609318996
"Иронические детективы,Современные детективы,Остросюжетные любовные романы",4.645833333333333,69.5748502994011976
"Попаданцы,Любовное фэнтези,Фэнтези про драконов",4.661064425770308,69.4613935969868173
"Эротическое фэнтези,Современные любовные романы,Городское фэнтези",4.8,69.4000000000000000
"Эротические романы,Прикладная литература,Другие справочники,Руководства",5.0,69.3684210526315789
"Героическое фэнтези,Боевое фэнтези,Книги про волшебников,Юмористическое фэнтези",4.52,69.3139534883720930
"Городское фэнтези,Книги про волшебников,Любовное фэнтези,Магические академии",4.674418604651163,69.2750000000000000
"Научно-популярная литература,Общая история,Зарубежная образовательная литература,Культурология",4.0,69.2142857142857143
"Книги о приключениях,Боевая фантастика,Киберпанк",5.0,69.2000000000000000
"Эротические романы,Современные любовные романы,Эротическая литература",4.515337423312883,69.1987673343605547
"Магия / колдовство,Любовное фэнтези,Фэнтези про драконов",4.923076923076923,69.1904761904761905
"Личная эффективность,Эзотерика / оккультизм,Саморазвитие / личностный рост,Зарубежная эзотерическая литература,Зарубежная прикладная литература,Зарубежная деловая литература,Зарубежная психология",5.0,69.1111111111111111
"Эротические романы,Исторические любовные романы,Любовно-фантастические романы",4.233766233766234,69.0191387559808612
"Стимпанк,Попаданцы,Городское фэнтези",3.0,69.0000000000000000
"Фанфик,Героическая фантастика,Попаданцы",3.923076923076923,68.8571428571428571
"Мистика,Детективное фэнтези,Книги о приключениях,Книги про волшебников,Любовное фэнтези",4.333333333333333,68.8354430379746835
"Остросюжетные любовные романы,Любовное фэнтези,Фэнтези про драконов",4.48,68.8020833333333333
"Героическое фэнтези,Эротическое фэнтези,Любовное фэнтези",4.617647058823529,68.6884057971014493
"Саморазвитие / личностный рост,Психологические тренинги,Личные финансы",5.0,68.6666666666666667
"Книги о приключениях,Боевики,Боевое фэнтези,Магические академии",4.534090909090909,68.6390728476821192
"Внеклассное чтение,Стихи и поэзия,Детские стихи,Русская классика,Русская поэзия",4.166666666666667,68.6000000000000000
"Православные традиции,Семейная психология",4.75,68.5714285714285714
"Саморазвитие / личностный рост,Современные любовные романы,Юмористическая проза",5.0,68.5294117647058824
"Социальная фантастика,Триллеры",4.7,68.5087719298245614
"Эротические романы,Современная русская литература,Городское фэнтези",4.25,68.4615384615384615
"Попаданцы,Книги про вампиров,Любовное фэнтези",4.321428571428571,68.4418604651162791
"Религии / верования / культы,Общая история,Архитектура,Культурология,Путеводители",5.0,68.4000000000000000
"Книги о приключениях,Детективная фантастика,Книги про волшебников,Любовное фэнтези",4.6875,68.4000000000000000
"Героическое фэнтези,Книги про волшебников,Любовное фэнтези,Магические академии",4.714285714285714,68.3655913978494624
"Книги о приключениях,Короткие любовные романы,Современные любовные романы,Юмористическая проза",4.333333333333333,68.2500000000000000
"Боевая фантастика,Боевое фэнтези,Юмористическое фэнтези",4.5,68.2400000000000000
"Героическое фэнтези,Книги про волшебников,Любовное фэнтези",4.7277936962750715,68.1469740634005764
"Попаданцы,Историческое фэнтези,Любовное фэнтези",4.764227642276423,68.0825688073394495
"Русский язык как иностранный,Языкознание",4.75,68.0000000000000000
"Попаданцы,Боевое фэнтези,Книги про волшебников,Магические академии",4.6,67.9574468085106383
"Городское фэнтези,Книги про волшебников,Магические академии",4.698275862068965,67.9413407821229050
"Религии / верования / культы,Мифы / легенды / эпос,Книги о компьютерах,Юмор и сатира,Общая психология,Современная русская литература",5.0,67.9166666666666667
Терминологические словари,3.0,67.9090909090909091
"Стихи и поэзия,Список школьной литературы 9 класс,Литература 19 века",5.0,67.8000000000000000
"Триллеры,Остросюжетные любовные романы,Современные любовные романы",4.125,67.7966101694915254
"Героическое фэнтези,Попаданцы,Книги про волшебников,Магические академии",4.549019607843137,67.7735849056603774
"Книги о приключениях,Остросюжетные любовные романы,Современные любовные романы,Юмористическая проза",4.555555555555555,67.7586206896551724
"Книги про волшебников,Любовное фэнтези,Магические академии",4.660984848484849,67.7227896119054567
"Героическое фэнтези,Боевое фэнтези,Книги про вампиров",5.0,67.6923076923076923
"Любовное фэнтези,Фэнтези про драконов,Юмористическое фэнтези",4.665254237288136,67.6193467336683417
"Эротические романы,Любовно-фантастические романы",4.736017897091722,67.6001430615164521
"Эротическое фэнтези,Любовное фэнтези,Фэнтези про драконов",4.635416666666667,67.5718157181571816
"Детективное фэнтези,Городское фэнтези,Любовное фэнтези,Магические академии",4.512195121951219,67.5641025641025641
"Попаданцы,Книги про волшебников,Любовное фэнтези",4.706766917293233,67.5534716679968077
"Исторические любовные романы,Короткие любовные романы,Любовное фэнтези",4.4,67.5483870967741935
"Стимпанк,Детективное фэнтези,Городское фэнтези,Любовное фэнтези",4.7272727272727275,67.5147058823529412
"Триллеры,Исторические любовные романы,Остросюжетные любовные романы,Исторические приключения,Книги о войне",5.0,67.4444444444444444
"Остросюжетные любовные романы,Современные любовные романы,Эротическая литература",4.63855421686747,67.4309133489461358
"Саморазвитие / личностный рост,Истории успеха,Просто о бизнесе,Зарубежная прикладная литература,Лидерство,Зарубежная деловая литература,Коучинг,Личные финансы,Зарубежная психология,Зарубежная публицистика,Биографии и мемуары",5.0,67.4166666666666667
"Мистика,Современные детективы,Городское фэнтези",4.538461538461538,67.3265306122448980
"Героическое фэнтези,Боевое фэнтези,Книги про вампиров,Книги про волшебников",5.0,67.3125000000000000
"Книги о приключениях,Любовно-фантастические романы,Попаданцы",3.0,67.3125000000000000
"Остросюжетные любовные романы,Современные любовные романы,Любовное фэнтези",4.5,67.3000000000000000
"Стартапы и создание бизнеса,Предпринимательское право,Малый и средний бизнес",4.0,67.2857142857142857
"Боевое фэнтези,Книги про волшебников,Любовное фэнтези,Магические академии",4.817647058823529,67.2681281618887015
"Попаданцы,Любовное фэнтези,Магические академии",4.679045092838196,67.0952778938570832
"Героическое фэнтези,Любовное фэнтези",4.6676610978520285,67.0804401441851641
"Книги о приключениях,Современная русская литература,Любовное фэнтези",5.0,67.0689655172413793
"Историческое фэнтези,Любовное фэнтези,Фэнтези про драконов",4.833333333333333,67.0149253731343284
"Гадание / толкование снов,Популярные справочники",,67.0000000000000000
"Саморазвитие / личностный рост,Событийный маркетинг,Поиск работы / карьера",,67.0000000000000000
"Героическое фэнтези,Любовно-фантастические романы,Книги про волшебников",5.0,67.0000000000000000
"Книги про вампиров,Книги про волшебников,Любовное фэнтези",4.783018867924528,66.9935064935064935
"Политология,Книги по философии",2.0,66.9090909090909091
"Психология управления,Управление экономикой,Бухучет / налогообложение / аудит",,66.8750000000000000
"Боевая фантастика,Историческое фэнтези",5.0,66.8000000000000000
"Шпионские детективы,Остросюжетные любовные романы,Современные любовные романы",4.5,66.7857142857142857
"Любовно-фантастические романы,Детективная фантастика,Космическая фантастика",4.622222222222222,66.7697841726618705
"Научно-популярная литература,Политология,Внешняя политика,Общая история,Зарубежная образовательная литература",5.0,66.7500000000000000
"Эротические романы,Эротическое фэнтези,Остросюжетные любовные романы",4.484848484848484,66.7300000000000000
"Детективное фэнтези,Любовное фэнтези,Эротическая литература",4.4,66.7272727272727273
"Национальная политика,Генетика,История политических учений,Документальная литература,Публицистика",4.75,66.6470588235294118
"Геология,Книги о путешествиях",5.0,66.6363636363636364
"Героическое фэнтези,Городское фэнтези,Любовное фэнтези",5.0,66.5454545454545455
"Креатив / идеи,Эффективная презентация",4.75,66.5000000000000000
"Короткие любовные романы,Любовно-фантастические романы,Современные любовные романы",4.666666666666667,66.4761904761904762
"Мистика,Исторические приключения,Историческая фантастика,Попаданцы",5.0,66.4615384615384615
"Мистика,Легкая проза",5.0,66.4406779661016949
"Биографии и мемуары,Документальная литература,Путеводители",5.0,66.4285714285714286
"Общая биология,Зоология,Природа и животные,Энциклопедии",4.833333333333333,66.4210526315789474
"Эзотерика / оккультизм,Книги по философии,Книги о приключениях,Руководства,Общая психология",,66.4000000000000000
"История России,Документальная литература,Публицистика,Популярно об истории",5.0,66.3571428571428571
"Отдых / туризм,Руководства,Путеводители",5.0,66.3333333333333333
"Любовно-фантастические романы,Остросюжетные любовные романы,Городское фэнтези",5.0,66.2631578947368421
"Любовное фэнтези,Магические академии",4.680030257186082,66.2571106094808126
"Книги про волшебников,Любовное фэнтези,Юмористическое фэнтези,Магические академии",4.693430656934306,66.2214765100671141
"Космическая фантастика,Любовное фэнтези",4.0,66.2000000000000000
"Логика,Социальная философия",4.0,66.1818181818181818
"Православные молитвы,Богословие,Зарубежная классика,Религиозные тексты",4.333333333333333,66.1538461538461538
