"amt_of_users","age_range","rating"
55181,"18_24",4.616335806430051
30143,"25_34",4.605920127674127
17600,"35_44",4.594517671115533
14327,"45_54",4.585833231296681
16525,"55_64",4.50795162365489
8966,"65_inf",4.5252592285358775
146,Unknown,4.5813953488372094
