"item_id","start_count"
99357,5212
316995,1734
109201,1726
28889,1269
241026,1167
24551,1067
99616,961
211217,939
121687,938
310952,889
281005,885
250997,876
288531,873
26963,833
90225,807
89152,777
52267,697
107876,642
243711,638
159580,630
130451,609
232537,600
168900,594
257274,593
153051,579
36447,564
123475,558
155451,556
292629,552
58765,529
176898,527
25405,520
58803,518
230067,510
99575,507
90519,493
319390,490
198186,488
252228,474
308529,472
264997,464
154805,459
4497,439
53518,424
157422,418
136980,413
16943,410
107522,399
55913,383
119138,378
39878,377
143505,377
273026,375
229749,373
295007,371
35265,370
315726,366
169853,364
155266,356
59807,345
32603,336
44081,333
100679,333
48510,331
41856,327
263059,325
185666,316
61446,308
292015,305
42224,303
235407,303
251645,302
136034,301
270415,294
164861,293
252765,290
218707,288
57711,288
59866,287
306184,287
197579,283
145016,282
96466,281
236904,281
131294,275
218713,274
112631,271
209379,270
318694,270
262796,270
110503,269
63990,269
209326,269
104868,264
173707,264
92847,261
288295,258
208935,256
177545,254
304732,252
314555,250
293799,249
186115,244
238856,244
126875,243
8554,242
115706,239
183232,238
153081,236
6136,236
161017,235
196475,235
56453,235
74077,234
125427,230
2281,230
285394,230
217386,229
166159,227
195040,226
276816,226
198447,226
306076,224
274561,224
293034,224
291131,224
18541,224
93249,223
265255,223
139479,222
6943,221
125386,221
296634,220
32364,219
277787,215
4332,212
45494,212
266129,209
61478,208
126581,205
231005,205
212014,204
4763,201
222611,199
143447,198
292066,197
149503,197
273559,196
216083,196
68448,196
282759,193
320226,193
230045,192
313185,191
229652,189
102798,189
174952,188
237760,187
184223,187
99339,186
308151,185
44681,185
179930,184
201288,184
310684,184
234241,183
114453,183
179270,182
141961,181
168465,180
213805,178
147152,178
115190,178
99199,178
138060,177
22083,177
74650,177
298052,176
293426,176
177227,176
65594,175
184890,175
269600,174
245497,174
149314,174
37581,173
290506,173
104931,170
19882,169
204930,169
139440,169
69846,169
5390,169
276749,168
292402,168
46038,168
126483,168
106369,167
154802,167
191389,166
144757,166
60193,166
145718,165
153737,165
155728,164
155842,164
236776,164
204321,164
42970,163
291039,163
181213,163
78934,162
148327,162
265425,162
94079,162
168726,161
308169,160
242142,160
312940,160
10082,159
15464,159
18066,159
295492,158
263654,157
104846,156
164083,156
108278,155
50450,155
108078,155
237169,155
287247,154
48786,154
100891,154
244439,154
185932,152
201020,152
228594,151
297707,151
199913,150
148773,150
159436,149
169867,148
10522,147
18230,147
111456,147
245373,147
25274,147
53287,147
41178,146
42903,146
18678,146
291239,146
300429,145
226128,145
320242,145
147734,145
278423,145
188772,145
61522,144
294945,144
8346,144
265236,144
188470,144
233762,144
165576,143
170578,143
181955,142
199796,141
72593,141
10568,141
177197,141
35743,141
168037,140
114707,140
59377,140
98614,139
75579,139
245180,138
150024,138
33845,138
292465,138
72356,137
109265,137
218025,137
165439,137
43309,137
116240,136
173508,136
39160,136
102881,136
137648,135
107923,135
206810,135
162609,134
116466,134
318571,134
60156,133
275225,133
121544,133
216356,132
271811,132
100269,132
217398,132
108759,132
303419,132
289701,132
5001,131
276498,131
156300,131
18492,131
316942,130
176635,130
31438,130
301677,130
86268,130
22282,130
75036,130
76697,129
320932,129
290476,129
206208,128
221255,128
53743,128
156925,128
9998,128
135032,128
247238,128
118071,128
188055,128
21450,128
70926,127
182910,127
200438,127
284795,127
306416,127
22386,127
212687,127
176356,126
30772,126
158276,125
151190,125
96052,124
136261,124
210979,124
177665,123
240053,123
56475,123
14145,123
110300,123
45897,123
271846,122
213498,122
37957,122
68488,122
8477,121
156325,121
86752,121
172583,121
141933,121
245213,121
18501,121
82559,120
181900,119
307855,119
37954,119
81288,119
226196,119
79127,118
271067,118
227346,117
81342,117
189055,117
120660,117
156003,117
208202,117
271705,117
14282,117
125393,116
223806,116
181096,116
136363,116
226611,116
133452,116
115318,115
274761,115
221697,115
96726,115
65830,115
84620,115
158005,114
171948,114
291806,114
9939,114
40236,114
202274,114
162484,113
85833,113
232317,113
58959,113
135557,112
199435,112
176009,112
88912,112
314352,111
303642,111
253138,111
233994,111
22899,111
195027,111
61105,111
214694,110
88843,110
110066,110
11424,110
123162,110
90671,110
108948,110
62381,109
116299,109
259338,109
282497,109
78703,109
177181,109
299155,108
256227,108
115427,108
239561,108
142592,108
21289,108
182342,108
299349,108
284642,108
75618,107
42239,107
313404,107
104010,107
89136,107
105170,107
34917,107
145091,107
18289,106
136121,106
57990,106
108856,106
193234,106
315738,106
122087,106
230592,106
41780,105
219625,105
229597,105
240827,104
219738,104
231257,104
95003,104
43879,104
220826,104
300703,104
76113,104
94360,103
179238,103
312059,103
120499,103
121065,103
35187,103
201999,103
137319,103
198593,103
35880,103
205289,103
23647,102
72618,102
220966,102
246172,102
268196,102
175135,102
268121,102
96144,102
152340,102
285903,101
244384,101
79964,101
64572,101
174888,101
125772,101
28363,101
100675,100
8380,100
208776,100
78541,100
185005,100
70381,100
281419,100
187328,100
162625,100
196441,99
319878,99
260967,99
4462,99
200956,99
103367,98
134598,98
241020,98
282647,98
283463,98
296964,98
222102,98
217633,98
316763,98
188290,98
46243,98
164428,98
213756,98
209998,97
45787,97
44297,97
282091,97
115259,97
264854,97
217552,96
147805,96
298473,96
159455,96
180018,96
315021,96
219439,96
78549,96
49352,96
4663,96
197031,96
8875,96
136190,96
318076,96
35226,96
82696,96
77780,95
181197,95
4629,95
86588,95
288012,95
85829,95
292692,95
35476,95
178609,95
305466,95
152566,95
26310,94
247959,94
139255,94
163618,94
267351,94
135934,94
303000,94
224066,94
280719,94
213088,94
224553,93
234413,93
226402,93
206721,93
112429,93
134726,93
132760,93
238597,92
307357,92
133719,92
120333,92
307555,92
163442,92
110639,92
5432,92
196238,92
287886,91
252967,91
158191,91
173307,91
67643,91
210567,91
144561,91
215664,91
23553,91
31647,91
32743,91
100698,90
251856,90
21806,90
11525,90
278100,90
48285,90
